"","Symbol","ID","Gene Type","CM tissueType","CM cancerType","CM cellType","CM cellName","unique","p-val","unique-fcs","total-fcs","stat"
"ENSG00000223946.1","AL513008.1",NA,"lincRNA","","","","","No",3.51e-09,0.33,1.59,"-22.19"
"ENSG00000236467.8","KCNMA1-AS1","101929328","antisense","","","","","No",9.52e-10,1.06,2.04,"-22.2"
"ENSG00000248773.1","AC108727.1",NA,"sense_intronic","","","","","No",5.99e-15,1.64,2.81,"-22.2"
"ENSG00000255159.1","AC026894.1",NA,"antisense","","","","","No",1.97e-22,2.41,4.26,"-22.21"
"ENSG00000230826.1","AL390774.2",NA,"antisense","","","","","No",5.57e-17,1.92,3.67,"-22.22"
"ENSG00000280035.1","AC011676.5",NA,"TEC","","","","","No",1.26e-07,0.36,2.71,"-22.23"
"ENSG00000259345.5","AC013652.1",NA,"lincRNA","","","","","No",0.00275,0.2,1.92,"-22.26"
"ENSG00000249870.1","AC005920.2",NA,"antisense","","","","","No",1.13e-11,1.9,2.99,"-22.27"
"ENSG00000238120.1","LINC01589","100506737","antisense","","","","","No",0.00357,0.1,1.43,"-22.27"
"ENSG00000240925.1","RPS20P31",NA,"processed_pseudogene","","","","","No",1.7e-14,1.62,3.73,"-22.28"
"ENSG00000259999.1","AC009054.1",NA,"sense_intronic","","","","","No",7.46e-18,1.82,4.12,"-22.28"
"ENSG00000236709.1","DAPK1-IT1","100506897","sense_intronic","","","","","No",2e-04,0.53,2.69,"-22.28"
"ENSG00000264924.1","AC090772.1",NA,"antisense","","","","","No",0.00136,0.45,2.3,"-22.29"
"ENSG00000257802.1","AC089984.2",NA,"processed_pseudogene","","","","","No",4.25e-11,0.67,3.32,"-22.29"
"ENSG00000246422.2","LOC100505658","100505658","antisense","","","","","No",9.35e-14,1.44,3.37,"-22.3"
"ENSG00000235593.1","RBMS3-AS1","100873977","antisense","","","","","No",8.98e-10,2.17,2.27,"-22.31"
"ENSG00000179994.10","SPDYE7P","441251","transcribed_unprocessed_pseudogene","","","","","No",2.59e-06,0.75,2.67,"-22.31"
"ENSG00000260744.1","AC007494.2",NA,"antisense","","","","","No",4.18e-20,1.65,4.06,"-22.33"
"ENSG00000221808.1","MIR1256","100302155","miRNA","","","","","No",1.21e-07,1,-1.02,"-22.33"
"ENSG00000228444.2","AL137244.1",NA,"sense_intronic","","","","","No",7.63e-08,1,1.99,"-22.35"
"ENSG00000239945.1","AL627309.3",NA,"lincRNA","","","","","No",0.00733,0.13,1.6,"-22.37"
"ENSG00000232642.1","AC008073.2",NA,"antisense","","","","","No",0.00982,0.59,1.23,"-22.41"
"ENSG00000261191.1","AC013640.1",NA,"antisense","","","","","No",7.35e-05,1.45,1.46,"-22.42"
"ENSG00000081665.13","ZNF506","440515","protein_coding","","","","","No",0.000766,0.03,1.36,"-22.43"
"ENSG00000206779.1","RF00019",NA,"misc_RNA","","","","","No",0.000671,1.03,1.72,"-22.43"
"ENSG00000238019.1","AL360169.1",NA,"antisense","","","","","No",2.73e-12,2.07,2.5,"-22.46"
"ENSG00000241295.1","ZBTB20-AS2",NA,"lincRNA","","","","","No",1.95e-06,1.38,3.31,"-22.46"
"ENSG00000239593.1","AL513122.2",NA,"antisense","","","","","No",2.36e-08,1.31,2.28,"-22.46"
"ENSG00000227574.2","AC112229.2",NA,"antisense","","","","","No",4.11e-08,1.57,1.55,"-22.47"
"ENSG00000242296.2","DEFB109A",NA,"unprocessed_pseudogene","","","","","No",5.75e-07,1.17,1.96,"-22.49"
"ENSG00000207344.1","SNORA22C","109616965","snoRNA","","","","","No",1.18e-10,1.25,1.79,"-22.5"
"ENSG00000253099.1","RNU2-60P",NA,"snRNA","","","","","No",0.00592,1.03,-0.08,"-22.51"
"ENSG00000244124.1","ATP1B3-AS1",NA,"antisense","","","","","No",1.32e-06,1.14,2.27,"-22.52"
"ENSG00000201448.1","SNORA63C","109616970","snoRNA","","","","","No",0.00321,1.19,0.97,"-22.53"
"ENSG00000077157.21","PPP1R12B","4660","protein_coding","","","","","No",3.77e-08,0.29,1.65,"-22.54"
"ENSG00000261080.1","RUNX2-AS1",NA,"lincRNA","","","","","No",0.00443,0.14,1.25,"-22.55"
"ENSG00000254791.1","FAR1-IT1",NA,"sense_intronic","","","","","No",0.000131,0.48,2.41,"-22.56"
"ENSG00000257640.1","AC096558.2",NA,"antisense","","","","","No",2.4e-07,0.91,1.45,"-22.56"
"ENSG00000202380.1","RNU1-55P",NA,"snRNA","","","","","No",0.00248,1.72,-1.89,"-22.57"
"ENSG00000207034.1","RF00019",NA,"misc_RNA","","","","","No",6.23e-11,1.27,2.73,"-22.59"
"ENSG00000228686.2","AL590723.1",NA,"antisense","","","","","No",2.48e-15,1.07,2.85,"-22.6"
"ENSG00000236494.1","AC008080.4",NA,"lincRNA","","","","","No",8.16e-14,1.73,3.19,"-22.6"
"ENSG00000259654.1","AC115102.1",NA,"antisense","","","","","No",3.74e-07,1.13,2.32,"-22.6"
"ENSG00000231898.8","MYO3B-AS1",NA,"antisense","","","","","No",0.00022,0.78,0.98,"-22.6"
"ENSG00000235947.1","EGOT","100126791","lincRNA","","","","","No",7.53e-10,1.08,2.96,"-22.61"
"ENSG00000161634.11","DCD","117159","protein_coding","","","","","No",0.000116,0.49,-0.41,"-22.64"
"ENSG00000235271.5","LINC01422","101929539","lincRNA","","","","","No",0.00548,1.02,1.22,"-22.64"
"ENSG00000259883.1","EHD4-AS1",NA,"antisense","","","","","No",9.48e-11,1.62,2.99,"-22.65"
"ENSG00000229048.5","DUTP1",NA,"processed_pseudogene","","","","","No",2.57e-12,0.37,3.13,"-22.65"
"ENSG00000237328.1","RAI1-AS1","100861516","antisense","","","","","No",1.02e-18,1.84,4.01,"-22.68"
"ENSG00000212743.2","AL137145.1",NA,"lincRNA","","","","","No",5.42e-07,0.19,1.93,"-22.68"
"ENSG00000150477.14","KIAA1328","57536","protein_coding","","","","","No",0.00638,0.25,1.34,"-22.7"
"ENSG00000250950.1","AC093752.2",NA,"lincRNA","","","","","No",2.87e-07,0.63,3.1,"-22.7"
"ENSG00000234073.1","AC011816.1",NA,"processed_pseudogene","","","","","No",0.00132,0.96,2.53,"-22.71"
"ENSG00000227017.1","AC007036.1",NA,"lincRNA","","","","","No",6.48e-05,0.67,2.12,"-22.73"
"ENSG00000201492.1","RNA5SP78",NA,"rRNA_pseudogene","","","","","No",0.00492,0.73,2.11,"-22.74"
"ENSG00000279476.1","AC092139.3",NA,"TEC","","","","","No",3.19e-29,1.57,3.96,"-22.75"
"ENSG00000235731.1","LINC02250",NA,"lincRNA","","","","","No",1.09e-07,1.6,3.02,"-22.75"
"ENSG00000231132.1","AC022537.1",NA,"antisense","","","","","No",1.37e-15,3.1,2.31,"-22.76"
"ENSG00000248682.1","ARHGAP22-IT1",NA,"sense_intronic","","","","","No",8.09e-05,0.92,1.3,"-22.76"
"ENSG00000199480.1","RNA5SP389",NA,"rRNA_pseudogene","","","","","No",1.07e-10,2.72,1.1,"-22.77"
"ENSG00000102786.14","INTS6","26512","protein_coding","","","","","No",0.00542,0.02,1.69,"-22.78"
"ENSG00000260969.1","WWOX-AS1",NA,"antisense","","","","","No",4.24e-06,1.35,2.47,"-22.79"
"ENSG00000243433.1","AC010973.1",NA,"antisense","","","","","No",0.0056,0.6,1.93,"-22.79"
"ENSG00000201247.1","SNORD114-13","767591","snoRNA","","","","","No",0.00524,0.92,-3.41,"-22.8"
"ENSG00000226578.1","AL132657.1",NA,"lincRNA","","","","","No",1.89e-05,1.24,2.22,"-22.82"
"ENSG00000232031.1","AL078599.2",NA,"sense_intronic","","","","","No",2.36e-05,1.66,2.17,"-22.83"
"ENSG00000237646.1","HLCS-IT1",NA,"sense_intronic","","","","","No",1.61e-19,2.46,3.01,"-22.83"
"ENSG00000240328.1","AC091805.1",NA,"processed_pseudogene","","","","","No",1.07e-05,1.64,3.48,"-22.84"
"ENSG00000131951.10","LRRC9","341883","protein_coding","","","","","No",3.58e-05,0.63,2.37,"-22.86"
"ENSG00000249258.2","AC079193.2",NA,"lincRNA","","","","","No",0.000361,1.03,2.08,"-22.87"
"ENSG00000230427.1","LOC101928098","101928098","antisense","","","","","No",0.000916,1.28,2.26,"-22.87"
"ENSG00000265261.1","AC027575.1",NA,"processed_pseudogene","","","","","No",4e-08,1.33,4.2,"-22.87"
"ENSG00000262038.1","AC007599.2",NA,"sense_intronic","","","","","No",3.48e-10,1.45,3.05,"-22.88"
"ENSG00000240888.1","AC131210.1",NA,"sense_intronic","","","","","No",1.58e-10,2.27,2.13,"-22.91"
"ENSG00000224574.1","COL18A1-AS2","100874236","antisense","","","","","Yes",8.03e-21,2.15,2.57,"-22.93"
