"baseMean","log2FoldChange","lfcSE","pvalue","padj","overFC"
"ENSG00000189058.8",774017.868553798,-0.293630853688352,0.248435627426763,0.172526627410092,0.258812877385733,1
"ENSG00000211666.2",9648.16019059289,-0.0264904063408213,0.354233168204289,0.292271410109356,0.39560853975577,0
"ENSG00000272398.5",488210.920595024,-0.109560690934964,0.227324982868524,0.608155796794716,0.69896414860782,0
"ENSG00000211676.2",4030.58834805174,0.0825895120382795,0.335607971500752,0.714238154458846,0.7865193066179,0
"ENSG00000283293.1",209036.203634737,-0.155169814237388,0.230470491287937,0.07722048288262,0.13313692068814,0
"ENSG00000202198.1",209044.377070645,-0.155183847924961,0.230468867351422,0.0772090706278034,0.133133733643663,0
"ENSG00000184292.6",6061.74381991459,2.47744743015244,0.29947123696753,2.91078603370153e-11,3.9764297341753e-10,1
"ENSG00000243466.1",10418.6840930309,0.0746457937062217,0.356087905644325,0.0191313765729587,0.0414195036932589,0
"ENSG00000128422.15",7389.49576101752,0.573017119011198,0.277896995342103,0.000490596750047488,0.00174771704105315,1
"ENSG00000132465.10",24054.7469680601,0.157437923651071,0.29553144592234,0.200298930544939,0.291898893486903,0
"ENSG00000129824.15",393550.667199299,-0.294686275615711,0.348355686752642,0.257502525890813,0.358020506986308,1
"ENSG00000111341.9",418901.578791055,-0.182537214846274,0.236960137274671,0.00577626795902733,0.0148421741203836,0
"ENSG00000277027.1",21271.9253895764,0.304992408171561,0.248512062659276,0.392032431308443,0.497883393909338,1
"ENSG00000109846.7",5786589.19789892,-0.333824473379843,0.191019053852957,0.0570505631749148,0.103566821132309,1
"ENSG00000269900.3",21273.4402027964,0.305009641452278,0.248503799968519,0.392127976300546,0.497948692839902,1
"ENSG00000182492.15",1018426.84996442,-0.410682418497533,0.190068259950484,0.0186524762698991,0.0405343364910047,1
"ENSG00000118785.13",11752714.4345863,-0.476300201889861,0.234405062690959,0.02097608968179,0.0448199575779811,1
"ENSG00000267328.1",134151.579487554,-0.588744078741974,0.208144855565133,0.00180876369702774,0.00542605065991254,1
"ENSG00000164692.17",2414787.23209779,0.0914969767003061,0.386665942599999,0.408024733509985,0.513340516548854,0
"ENSG00000251546.1",6374.79286892712,-0.140929562146959,0.372164283888071,0.564218566735794,0.659448164798456,0
